[1771249592] Unsolved: 1000 | Queue: 0 | Processing: 0 | Solved: 0
[1771249594] Unsolved: 990 | Queue: 0 | Processing: 0 | Solved: 10
[1771249595] Unsolved: 920 | Queue: 0 | Processing: 0 | Solved: 80
[1771249596] Unsolved: 920 | Queue: 0 | Processing: 0 | Solved: 80
[1771249597] Unsolved: 920 | Queue: 0 | Processing: 0 | Solved: 80
[1771249598] Unsolved: 900 | Queue: 0 | Processing: 0 | Solved: 100
[1771249599] Unsolved: 880 | Queue: 0 | Processing: 0 | Solved: 120
[1771249601] Unsolved: 870 | Queue: 0 | Processing: 0 | Solved: 130
[1771249602] Unsolved: 860 | Queue: 0 | Processing: 0 | Solved: 140
[1771249603] Unsolved: 850 | Queue: 0 | Processing: 0 | Solved: 150
[1771249604] Unsolved: 830 | Queue: 0 | Processing: 0 | Solved: 170
[1771249605] Unsolved: 820 | Queue: 0 | Processing: 0 | Solved: 180
[1771249606] Unsolved: 810 | Queue: 0 | Processing: 0 | Solved: 190
[1771249607] Unsolved: 810 | Queue: 0 | Processing: 0 | Solved: 190
[1771249609] Unsolved: 810 | Queue: 0 | Processing: 0 | Solved: 190
[1771249610] Unsolved: 800 | Queue: 0 | Processing: 0 | Solved: 200
[1771249611] Unsolved: 790 | Queue: 0 | Processing: 0 | Solved: 210
[1771249612] Unsolved: 790 | Queue: 0 | Processing: 0 | Solved: 210
[1771249613] Unsolved: 790 | Queue: 0 | Processing: 0 | Solved: 210
[1771249614] Unsolved: 778 | Queue: 0 | Processing: 0 | Solved: 222
[1771249615] Unsolved: 750 | Queue: 0 | Processing: 0 | Solved: 250
[1771249617] Unsolved: 740 | Queue: 0 | Processing: 0 | Solved: 260
[1771249618] Unsolved: 740 | Queue: 0 | Processing: 0 | Solved: 260
[1771249619] Unsolved: 740 | Queue: 0 | Processing: 0 | Solved: 260
[1771249620] Unsolved: 720 | Queue: 0 | Processing: 0 | Solved: 280
[1771249621] Unsolved: 690 | Queue: 0 | Processing: 0 | Solved: 310
[1771249622] Unsolved: 690 | Queue: 0 | Processing: 0 | Solved: 310
[1771249623] Unsolved: 680 | Queue: 0 | Processing: 0 | Solved: 320
[1771249625] Unsolved: 670 | Queue: 0 | Processing: 0 | Solved: 330
[1771249626] Unsolved: 630 | Queue: 0 | Processing: 0 | Solved: 370
[1771249627] Unsolved: 620 | Queue: 0 | Processing: 0 | Solved: 380
[1771249628] Unsolved: 600 | Queue: 0 | Processing: 0 | Solved: 400
[1771249629] Unsolved: 580 | Queue: 0 | Processing: 0 | Solved: 420
[1771249630] Unsolved: 570 | Queue: 0 | Processing: 0 | Solved: 430
[1771249631] Unsolved: 560 | Queue: 0 | Processing: 0 | Solved: 440
[1771249632] Unsolved: 550 | Queue: 0 | Processing: 0 | Solved: 450
[1771249634] Unsolved: 540 | Queue: 0 | Processing: 0 | Solved: 460
[1771249635] Unsolved: 530 | Queue: 0 | Processing: 0 | Solved: 470
[1771249636] Unsolved: 520 | Queue: 0 | Processing: 0 | Solved: 480
[1771249637] Unsolved: 508 | Queue: 0 | Processing: 0 | Solved: 492
[1771249638] Unsolved: 500 | Queue: 0 | Processing: 0 | Solved: 500
[1771249639] Unsolved: 500 | Queue: 0 | Processing: 0 | Solved: 500
[1771249640] Unsolved: 490 | Queue: 0 | Processing: 0 | Solved: 510
[1771249642] Unsolved: 490 | Queue: 0 | Processing: 0 | Solved: 510
[1771249643] Unsolved: 470 | Queue: 0 | Processing: 0 | Solved: 530
