[1771286954] Unsolved: 0 | Queue: 1000 | Processing: 0 | Solved: 0
[1771286955] Unsolved: 0 | Queue: 800 | Processing: 200 | Solved: 0
[1771286956] Unsolved: 0 | Queue: 800 | Processing: 186 | Solved: 14
[1771286957] Unsolved: 0 | Queue: 796 | Processing: 132 | Solved: 72
[1771286959] Unsolved: 0 | Queue: 790 | Processing: 87 | Solved: 123
[1771286960] Unsolved: 0 | Queue: 790 | Processing: 28 | Solved: 182
[1771286961] Unsolved: 0 | Queue: 781 | Processing: 26 | Solved: 193
[1771286962] Unsolved: 0 | Queue: 780 | Processing: 19 | Solved: 201
[1771286963] Unsolved: 0 | Queue: 780 | Processing: 17 | Solved: 203
[1771286964] Unsolved: 0 | Queue: 770 | Processing: 24 | Solved: 206
[1771286966] Unsolved: 0 | Queue: 770 | Processing: 19 | Solved: 211
[1771286967] Unsolved: 0 | Queue: 763 | Processing: 23 | Solved: 214
[1771286968] Unsolved: 0 | Queue: 762 | Processing: 21 | Solved: 217
[1771286969] Unsolved: 0 | Queue: 760 | Processing: 18 | Solved: 222
[1771286970] Unsolved: 0 | Queue: 754 | Processing: 22 | Solved: 224
[1771286971] Unsolved: 0 | Queue: 750 | Processing: 23 | Solved: 227
[1771286973] Unsolved: 0 | Queue: 743 | Processing: 25 | Solved: 232
[1771286974] Unsolved: 0 | Queue: 742 | Processing: 25 | Solved: 233
[1771286975] Unsolved: 0 | Queue: 740 | Processing: 20 | Solved: 240
[1771286976] Unsolved: 0 | Queue: 731 | Processing: 26 | Solved: 243
[1771286977] Unsolved: 0 | Queue: 730 | Processing: 19 | Solved: 251
[1771286979] Unsolved: 0 | Queue: 721 | Processing: 26 | Solved: 253
[1771286980] Unsolved: 0 | Queue: 721 | Processing: 20 | Solved: 259
[1771286981] Unsolved: 0 | Queue: 720 | Processing: 18 | Solved: 262
[1771286982] Unsolved: 0 | Queue: 711 | Processing: 22 | Solved: 267
[1771286983] Unsolved: 0 | Queue: 711 | Processing: 19 | Solved: 270
[1771286985] Unsolved: 0 | Queue: 702 | Processing: 27 | Solved: 271
[1771286986] Unsolved: 0 | Queue: 701 | Processing: 22 | Solved: 277
[1771286987] Unsolved: 0 | Queue: 700 | Processing: 17 | Solved: 283
[1771286988] Unsolved: 0 | Queue: 691 | Processing: 21 | Solved: 288
[1771286989] Unsolved: 0 | Queue: 691 | Processing: 17 | Solved: 292
[1771286990] Unsolved: 0 | Queue: 686 | Processing: 16 | Solved: 298
[1771286992] Unsolved: 0 | Queue: 681 | Processing: 15 | Solved: 304
[1771286993] Unsolved: 0 | Queue: 680 | Processing: 12 | Solved: 308
[1771286994] Unsolved: 0 | Queue: 671 | Processing: 16 | Solved: 313
[1771286995] Unsolved: 0 | Queue: 671 | Processing: 13 | Solved: 316
[1771286996] Unsolved: 0 | Queue: 663 | Processing: 18 | Solved: 319
[1771286998] Unsolved: 0 | Queue: 660 | Processing: 16 | Solved: 324
[1771286999] Unsolved: 0 | Queue: 660 | Processing: 12 | Solved: 328
[1771287000] Unsolved: 0 | Queue: 651 | Processing: 17 | Solved: 332
[1771287001] Unsolved: 0 | Queue: 650 | Processing: 16 | Solved: 334
[1771287002] Unsolved: 0 | Queue: 649 | Processing: 12 | Solved: 339
[1771287004] Unsolved: 0 | Queue: 642 | Processing: 16 | Solved: 342
[1771287005] Unsolved: 0 | Queue: 640 | Processing: 15 | Solved: 345
[1771287006] Unsolved: 0 | Queue: 630 | Processing: 17 | Solved: 353
[1771287007] Unsolved: 0 | Queue: 630 | Processing: 15 | Solved: 355
[1771287009] Unsolved: 0 | Queue: 621 | Processing: 19 | Solved: 360
[1771287010] Unsolved: 0 | Queue: 621 | Processing: 14 | Solved: 365
[1771287011] Unsolved: 0 | Queue: 620 | Processing: 10 | Solved: 370
[1771287012] Unsolved: 0 | Queue: 611 | Processing: 18 | Solved: 371
[1771287013] Unsolved: 0 | Queue: 610 | Processing: 15 | Solved: 375
[1771287014] Unsolved: 0 | Queue: 606 | Processing: 16 | Solved: 378
[1771287016] Unsolved: 0 | Queue: 601 | Processing: 18 | Solved: 381
[1771287017] Unsolved: 0 | Queue: 600 | Processing: 13 | Solved: 387
[1771287018] Unsolved: 0 | Queue: 591 | Processing: 20 | Solved: 389
[1771287019] Unsolved: 0 | Queue: 591 | Processing: 13 | Solved: 396
[1771287020] Unsolved: 0 | Queue: 586 | Processing: 15 | Solved: 399
[1771287022] Unsolved: 0 | Queue: 581 | Processing: 15 | Solved: 404
[1771287023] Unsolved: 0 | Queue: 580 | Processing: 11 | Solved: 409
[1771287024] Unsolved: 0 | Queue: 571 | Processing: 17 | Solved: 412
[1771287025] Unsolved: 0 | Queue: 570 | Processing: 15 | Solved: 415
[1771287026] Unsolved: 0 | Queue: 570 | Processing: 10 | Solved: 420
[1771287027] Unsolved: 0 | Queue: 561 | Processing: 16 | Solved: 423
[1771287029] Unsolved: 0 | Queue: 560 | Processing: 14 | Solved: 426
[1771287030] Unsolved: 0 | Queue: 551 | Processing: 20 | Solved: 429
[1771287031] Unsolved: 0 | Queue: 551 | Processing: 14 | Solved: 435
[1771287032] Unsolved: 0 | Queue: 550 | Processing: 13 | Solved: 437
[1771287033] Unsolved: 0 | Queue: 543 | Processing: 16 | Solved: 441
[1771287034] Unsolved: 0 | Queue: 540 | Processing: 16 | Solved: 444
[1771287036] Unsolved: 0 | Queue: 533 | Processing: 23 | Solved: 444
[1771287037] Unsolved: 0 | Queue: 532 | Processing: 16 | Solved: 452
[1771287038] Unsolved: 0 | Queue: 530 | Processing: 16 | Solved: 454
[1771287039] Unsolved: 0 | Queue: 522 | Processing: 18 | Solved: 460
[1771287040] Unsolved: 0 | Queue: 522 | Processing: 14 | Solved: 464
[1771287041] Unsolved: 0 | Queue: 514 | Processing: 17 | Solved: 469
[1771287043] Unsolved: 0 | Queue: 511 | Processing: 13 | Solved: 476
[1771287044] Unsolved: 0 | Queue: 510 | Processing: 11 | Solved: 479
[1771287045] Unsolved: 0 | Queue: 500 | Processing: 17 | Solved: 483
[1771287046] Unsolved: 0 | Queue: 500 | Processing: 14 | Solved: 486
[1771287047] Unsolved: 0 | Queue: 496 | Processing: 15 | Solved: 489
[1771287049] Unsolved: 0 | Queue: 491 | Processing: 18 | Solved: 491
[1771287050] Unsolved: 0 | Queue: 490 | Processing: 16 | Solved: 494
[1771287051] Unsolved: 0 | Queue: 481 | Processing: 21 | Solved: 498
[1771287052] Unsolved: 0 | Queue: 480 | Processing: 16 | Solved: 504
